authors,isbn13,title
['Jonathan Rutland'],9780394892115,Ufo's (random House All-about Books)
['Jakes Serita Ann'],9780739327814,Sleeping Beauty (random House Large Print)
['Laurie E. Rozakis Ph.d.'],9780375702822,Random House Webster's Pocket Rhyming Dictionary
['Elizabeth S Austin'],9780394804798,The Random House Book Of Birds
['Joan Didion'],9780739378434,Blue Nights (random House Large Print)
['John Grisham'],9780375433542,The Partner (random House Large Print)
['William Bernhardt'],9780375432620,Criminal Intent (random House Large Print)
['Roger Phillips'],9780375754418,The Random House Book Of Climbers
['Luanne Rice'],9780375435218,Summer's Child (random House Large Print)
"['Janet Evanovich', 'Charlotte Hughes']",9780375432842,Full Speed (random House Large Print)
['Random House Editors'],9780613025867,Random House Book Of Horse Stories
['Carolyn Haines'],9780375432484,Splintered Bones (Random House Large Print)
['Stanley Newman'],9780812936216,Random House Summer Trip Crosswords (vacation)
['H.l. Ross'],9780679853374,The Rabbits' Carnival (random House Pictureback)
['Iris Johansen'],9780739327531,Pandora's Daughter (random House Large Print)
['Roger Phillips'],9780679727569,The Random House Book Of Bulbs
['Roger Phillips'],9780609000403,Random House Book Of Salad Plants
['Michael Ashley'],9780812933925,"Random House Crostics, Volume 8 (other)"
['Random House'],9780375707025,Random House Webster's Handy American Dictionary
['Cynthia Lennon'],9780739325810,John (random House Large Print Biography)
"['Ivers', 'Mitchell']",9781121277144,Random House Guide To Good Writing
['Richard Knaak'],9789830395432,Legend Of Huma Random House Children
['Kelly Milner Halls'],9780375827150,The Random House Dinosaur Travel Guide
['Nora Roberts'],9780739377949,Sacred Sins (random House Large Print)
['John Grisham'],9780739328231,The Associate (random House Large Print)
['Random House'],9780594453154,Random House World Atlas And Encyclopedia
['Random House'],9780606223317,Random House Webster's Handy Spanish Dictionary
['Kay Hooper'],9780739328408,Blood Sins (random House Large Print)
['Ann Braybrooks'],9780736413299,Pooh's Happy Halloween (random House Pictureback)
['Danielle Steel'],9780739328668,Southern Lights (random House Large Print)
['Roger Phillips'],9780679732136,The Random House Book Of Herbs
['John Grisham'],9780739378342,The Racketeer (random House Large Print)
['Michael Palmer'],9780375409776,The Patient (random House Large Print)
['Michael Ashley'],9780812933932,"Random House Crostics, Volume 9 (other)"
"['Random House', 'Anc Staff Random House']",9780375705144,Random House Webster's Pocket Rhyming Dictionary
['Peter Lippman'],9780394837314,Busy Boats-pictureback (random House Pictureback)
['Kirk Mitchell'],9780375432651,Cry Dance (random House Large Print)
['Random House Staff'],9780375405167,Random House Chinese to English Dictionary
['Jane Feldman'],9780613256353,I Love Gymnastics! (random House Picturebacks)
['Random House'],9780394740072,The Random House concise world atlas
['Nora Roberts'],9780375433771,Divine Evil (random House Large Print)
['Random House Inactive Returns'],9780679402930,The Random House Timetables Of History
"['Elizabeth S. Austin', 'Oliver L. Austin']",9780394904795,The Random House Book Of Birds
['Candice Proctor'],9780375432606,Midnight Confessions (random House Large Print)
['Helicon Publishing Ltd.'],9780375700576,Random House Webster's Dictionary Of Scientists
['Carolyn Haines'],9780375432491,Crossed Bones (random House Large Print)
['Walter Linsenmaier'],9780394940915,Wonders Of Nature (random House Pictureback)
['John Grisham'],9780739378335,The Litigators (random House Large Print)
